c0_win,d1_win,delta_win,joint_cell,knn_distance,nearest_train_distance,ood_decile,ood_score,outcome,sample_id,train_cell_count
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,147ffda7-4f8d-49e7-b4d7-799e4e43d10a,0
0,0,0,2|linear|topo_fdeb50f24873|list|diagnostic,0.2336,0.2224,4,0.2269,loss_to_loss,14dcf34c-1e76-4163-ae1e-b5d073ab2e30,0
1,1,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,15475c99-4877-45c2-acb6-82b1b8fda842,0
0,0,0,5|fan_in|topo_774030263969|float|diagnostic,0.2279,0.2247,4,0.226,loss_to_loss,15c44ed2-3566-4319-b273-97c4c86fee73,0
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.2247,0.2222,3,0.2232,loss_to_loss,162bc9d2-4ec9-4bed-9e0b-4e9353dd8a93,0
0,0,0,5|fan_in|topo_7279e5f4b24a|float|diagnostic,0.1854,0.1192,3,0.1457,loss_to_loss,168257a8-a944-4dbc-8ae6-9b183edb9018,0
0,0,0,6+|fan_in|topo_6083e580bf00|float|diagnostic,0.2097,0.1225,3,0.1574,loss_to_loss,1687e9c2-fcd0-43f9-9cd4-ffbcdb497c48,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,1717147f-edc7-419b-9f2d-5f7fd6e2314b,0
0,1,1,5|linear|topo_d228dd6db98a|float|diagnostic,0.2248,0.2222,4,0.2233,loss_to_win,174a02ed-7ae5-4508-9754-d9408a886790,0
0,0,0,5|fan_in|topo_17d840e0415f|float|diagnostic,0.3148,0.2272,8,0.2622,loss_to_loss,1810cf06-7295-4bcb-aafb-ae1e0b6244cf,0
0,0,0,6+|fan_in|topo_76993c3ca74e|float|diagnostic,0.319,0.2388,9,0.2709,loss_to_loss,185a7140-1b85-41cf-bcf2-ae8025282e07,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2388,0.2261,6,0.2312,loss_to_loss,18c1e7de-838f-402c-b0eb-92740963761e,0
0,0,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,loss_to_loss,18f2119a-53e9-4e04-bd1a-2b88f2e68919,0
1,1,0,6+|fan_in|topo_48ee082e2dae|float|diagnostic,0.3388,0.3341,9,0.336,win_to_win,19dd3e9b-c499-4369-a5ba-c81c8c76f165,0
1,1,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2799,0.2373,8,0.2544,win_to_win,1a23d01d-1bf7-4680-bcfc-784c194f031c,0
0,0,0,4|linear|topo_5296967693d8|float|diagnostic,0.1232,0.1157,1,0.1187,loss_to_loss,1a95ac9a-3832-4f34-9b24-c5b7f210d666,0
