cell,diagnostic_count,train_count,unseen_in_train
6+|fan_in|topo_48ee082e2dae|float|diagnostic,1,0,1
5|fan_in|topo_52c12a6fa235|float|diagnostic,10,0,1
5|fan_in|topo_6011a58939eb|float|diagnostic,12,0,1
6+|fan_in|topo_d8766ac6f63e|float|diagnostic,1,0,1
6+|fan_in|topo_d03a09e50cd7|float|diagnostic,1,0,1
6+|fan_in|topo_86dba62bb2ea|float|diagnostic,1,0,1
6+|fan_in|topo_a4f44e275b70|float|diagnostic,1,0,1
6+|fan_in|topo_9c6659eccfdc|float|diagnostic,1,0,1
3|mixed|topo_5c49d2fff8bb|list|diagnostic,1,0,1
6+|fan_in|topo_ace9c53050f0|float|diagnostic,1,0,1
6+|fan_in|topo_c39b8213eda5|float|diagnostic,3,0,1
6+|fan_in|topo_596ff8eb2493|float|diagnostic,2,0,1
6+|fan_in|topo_3c002cc9f59b|float|diagnostic,1,0,1
6+|fan_in|topo_db1e543362bf|float|diagnostic,1,0,1
6+|fan_in|topo_2b9a65f092bb|float|diagnostic,3,0,1
3|mixed|topo_c654e84914a1|int|diagnostic,1,0,1
6+|linear|topo_02b29308ce2b|float|diagnostic,4,0,1
3|mixed|topo_5651f3cf682e|str|diagnostic,1,0,1
6+|fan_in|topo_63f405a71afa|float|diagnostic,1,0,1
6+|fan_in|topo_274cced67f83|float|diagnostic,2,0,1
6+|fan_in|topo_f5466e583fca|float|diagnostic,3,0,1
6+|fan_in|topo_549e2ec96bd6|float|diagnostic,1,0,1
6+|fan_in|topo_3d776f83e4a8|float|diagnostic,2,0,1
6+|fan_in|topo_91a9e4f44c24|float|diagnostic,1,0,1
6+|fan_in|topo_adbf88b7e219|float|diagnostic,1,0,1
6+|fan_in|topo_864e6cf733bb|float|diagnostic,2,0,1
6+|fan_in|topo_606006e98bc2|float|diagnostic,1,0,1
6+|fan_in|topo_f2c32ff10fdc|float|diagnostic,1,0,1
6+|fan_in|topo_c373e6561341|float|diagnostic,1,0,1
3|mixed|topo_5c49d2fff8bb|str|diagnostic,2,0,1
3|linear|topo_1c8dbe1830b2|str|diagnostic,1,0,1
6+|fan_in|topo_c48b6a5162a2|float|diagnostic,1,0,1
6+|fan_in|topo_2bf14060bc2a|float|diagnostic,1,0,1
3|fan_in|topo_911586a55488|str|diagnostic,1,0,1
6+|fan_in|topo_a4503152b38a|float|diagnostic,2,0,1
6+|fan_in|topo_9a499ee71ea4|float|diagnostic,1,0,1
6+|fan_in|topo_b08dfd9f1e9d|float|diagnostic,1,0,1
6+|fan_in|topo_53d4d124e14a|float|diagnostic,1,0,1
6+|fan_in|topo_2c3eca3d7e46|float|diagnostic,1,0,1
3|linear|topo_1c8dbe1830b2|int|diagnostic,2,0,1
6+|fan_in|topo_41ec797c710c|float|diagnostic,1,0,1
6+|fan_in|topo_5391d564a99d|float|diagnostic,1,0,1
6+|fan_in|topo_0d3a7c5d1144|float|diagnostic,1,0,1
6+|fan_in|topo_b66425026a59|float|diagnostic,1,0,1
6+|fan_in|topo_f371c45e3895|float|diagnostic,1,0,1
6+|fan_in|topo_5cf1a13edea8|float|diagnostic,3,0,1
6+|fan_in|topo_ae6ad51c2944|float|diagnostic,1,0,1
6+|fan_in|topo_7a3a64b95a12|float|diagnostic,1,0,1
6+|fan_in|topo_1419cc3c6547|float|diagnostic,2,0,1
6+|fan_in|topo_053156353fa9|float|diagnostic,3,0,1
6+|fan_in|topo_57e4cb13eb3f|float|diagnostic,1,0,1
6+|fan_in|topo_a3f910781fb0|float|diagnostic,1,0,1
6+|fan_in|topo_6c52cad17634|float|diagnostic,1,0,1
6+|fan_in|topo_cd7f4c91b6f3|float|diagnostic,1,0,1
6+|fan_in|topo_8c9ca7dddd8f|float|diagnostic,1,0,1
6+|fan_in|topo_877fd82ed260|float|diagnostic,1,0,1
6+|fan_in|topo_db320d0d30c9|float|diagnostic,1,0,1
6+|fan_in|topo_3fc4ea9607be|float|diagnostic,1,0,1
6+|fan_in|topo_a3a2cea2761d|float|diagnostic,1,0,1
6+|fan_in|topo_488ca23233c7|float|diagnostic,1,0,1
6+|fan_in|topo_c9df77cdba57|float|diagnostic,1,0,1
6+|fan_in|topo_73c0a91d9e5f|float|diagnostic,1,0,1
2|linear|topo_fdeb50f24873|dict|diagnostic,1,0,1
6+|fan_in|topo_4ad60a205ffc|float|diagnostic,1,0,1
6+|fan_in|topo_de1df42fc028|float|diagnostic,1,0,1
6+|fan_in|topo_8e07a51a35a6|float|diagnostic,1,0,1
6+|fan_in|topo_8364ff3eb7a6|float|diagnostic,1,0,1
3|linear|topo_1c8dbe1830b2|bool|diagnostic,1,0,1
3|mixed|topo_c654e84914a1|list|diagnostic,1,0,1
6+|fan_in|topo_5ccc221f2d3d|float|diagnostic,1,0,1
6+|fan_in|topo_f02a8d13f327|float|diagnostic,1,0,1
6+|fan_in|topo_4c00a7d6eda2|float|diagnostic,1,0,1
6+|fan_in|topo_660bdcd7ac11|float|diagnostic,1,0,1
6+|fan_in|topo_ebc77146d886|float|diagnostic,2,0,1
6+|fan_in|topo_2b60abe1fbcb|float|diagnostic,1,0,1
6+|fan_in|topo_0132aac98622|float|diagnostic,1,0,1
6+|fan_in|topo_1835893559d9|float|diagnostic,1,0,1
6+|fan_in|topo_bc551a84449b|float|diagnostic,1,0,1
