count,share,source,topology_hash
10,0.05,heldout,topo_bd3dd51ec1a9
8,0.04,heldout,topo_d228dd6db98a
7,0.035,heldout,topo_f5466e583fca
6,0.03,heldout,topo_7279e5f4b24a
5,0.025,heldout,topo_0c51481d8aeb
5,0.025,heldout,topo_64b2717a77dd
4,0.02,heldout,topo_30980484d6d7
4,0.02,heldout,topo_ff8ead63c33b
3,0.015,heldout,topo_926312b15db7
3,0.015,heldout,topo_5eeac3554b19
3,0.015,heldout,topo_e1b2f19eddb9
3,0.015,heldout,topo_c39b8213eda5
2,0.01,heldout,topo_9e01698159b0
2,0.01,heldout,topo_02b29308ce2b
2,0.01,heldout,topo_eaa9138bf474
2,0.01,heldout,topo_cd7f4c91b6f3
83,0.415,reserve,topo_fdeb50f24873
16,0.08,reserve,topo_bd3dd51ec1a9
8,0.04,reserve,topo_02b29308ce2b
8,0.04,reserve,topo_5cf1a13edea8
8,0.04,reserve,topo_1c8dbe1830b2
8,0.04,reserve,topo_5296967693d8
6,0.03,reserve,topo_00ac72c33abd
6,0.03,reserve,topo_d228dd6db98a
5,0.025,reserve,topo_7279e5f4b24a
4,0.02,reserve,topo_2b041b861492
4,0.02,reserve,topo_926c72bac680
4,0.02,reserve,topo_17d840e0415f
4,0.02,reserve,topo_9e01698159b0
3,0.015,reserve,topo_2b9a65f092bb
3,0.015,reserve,topo_5b37b75596d2
3,0.015,reserve,topo_0c51481d8aeb
3,0.015,reserve,topo_64b2717a77dd
2,0.01,reserve,topo_ace9c53050f0
2,0.01,reserve,topo_ca6030f187be
2,0.01,reserve,topo_bf579ac7c4b1
54,0.3375,pilot2_train,topo_fdeb50f24873
17,0.10625,pilot2_train,topo_911586a55488
13,0.08125,pilot2_train,topo_1c8dbe1830b2
11,0.06875,pilot2_train,topo_02b29308ce2b
8,0.05,pilot2_train,topo_5b37b75596d2
6,0.0375,pilot2_train,topo_64b2717a77dd
6,0.0375,pilot2_train,topo_bd3dd51ec1a9
6,0.0375,pilot2_train,topo_5296967693d8
4,0.025,pilot2_train,topo_30980484d6d7
4,0.025,pilot2_train,topo_00ac72c33abd
3,0.01875,pilot2_train,topo_7279e5f4b24a
3,0.01875,pilot2_train,topo_926c72bac680
3,0.01875,pilot2_train,topo_5cf1a13edea8
2,0.0125,pilot2_train,topo_0c51481d8aeb
2,0.0125,pilot2_train,topo_d4b4ab44315e
2,0.0125,pilot2_train,topo_596ff8eb2493
2,0.0125,pilot2_train,topo_2b041b861492
2,0.0125,pilot2_train,topo_ff8ead63c33b
2,0.0125,pilot2_train,topo_63f405a71afa
2,0.0125,pilot2_train,topo_926312b15db7
100,0.2,diagnostic,topo_fdeb50f24873
66,0.132,diagnostic,topo_1c8dbe1830b2
31,0.062,diagnostic,topo_bd3dd51ec1a9
30,0.06,diagnostic,topo_5296967693d8
28,0.056,diagnostic,topo_911586a55488
20,0.04,diagnostic,topo_30980484d6d7
19,0.038,diagnostic,topo_5b37b75596d2
17,0.034,diagnostic,topo_774030263969
15,0.03,diagnostic,topo_17d840e0415f
14,0.028,diagnostic,topo_0c51481d8aeb
12,0.024,diagnostic,topo_6011a58939eb
11,0.022,diagnostic,topo_d228dd6db98a
10,0.02,diagnostic,topo_7279e5f4b24a
10,0.02,diagnostic,topo_52c12a6fa235
7,0.014,diagnostic,topo_5dc2042eea23
4,0.008,diagnostic,topo_619388d6c582
4,0.008,diagnostic,topo_2b041b861492
4,0.008,diagnostic,topo_37f1fc553f96
4,0.008,diagnostic,topo_02b29308ce2b
3,0.006,diagnostic,topo_5c49d2fff8bb
