accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0588,0.9412,121,155,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,122,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,123,155,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,124,155,1,2,0.8889,uniform,1.0,True
16,32,0.1111,0.8889,125,155,1,2,0.8889,uniform,1.0,True
16,32,0.1111,0.8889,126,155,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,127,155,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,128,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,129,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,130,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,131,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,132,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,133,156,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,134,156,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,135,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,136,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,137,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,138,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,139,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,140,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,141,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,142,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,143,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,144,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,145,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,146,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,147,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,148,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,149,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,150,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,151,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,152,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,153,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,154,156,1,0,1.0,uniform,1.0,True
16,32,0.2,0.8,155,156,1,4,0.8,uniform,1.0,True
16,32,0.0,1.0,156,156,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,157,156,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,158,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,159,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,160,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,161,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,162,156,1,1,0.9412,uniform,1.0,True
16,32,0.1111,0.8889,163,156,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,164,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,165,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,166,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,167,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,168,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,169,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,170,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,171,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,172,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,173,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,174,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,175,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,176,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,177,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,178,156,1,1,0.9412,uniform,1.0,True
16,32,0.1111,0.8889,179,156,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,180,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,181,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,182,156,1,1,0.9412,uniform,1.0,True
